toll_point_id,uf,regulador,jurisdicao,concessionaria,lote,codigo_praca,nome,tipo_ponto,rodovia,km,municipio,sentido,latitude,longitude,valor_base_categoria1_brl,eixos_2_brl,eixos_3_brl,eixos_4_brl,eixos_5_brl,eixos_6_brl,eixos_7_brl,eixos_8_brl,eixos_9_brl,status_operacional,classe_cobranca,calcular_pedagio,confianca_geo,confianca_valor,source_tarifa_url,source_geo_url
br_antt_070_ecovias_capixaba_pedro_canario,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P1 - Pedro Canário ,praca_fisica,BR-101,1.0,Pedro Canário,Crescente/Decrescente,-18.18470800,-39.92211600,5.20,10.40,15.60,20.80,26.00,31.20,36.40,41.60,46.80,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_071_ecovias_capixaba_sao_mateus,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P2 - São Mateus ,praca_fisica,BR-101,85.8,São Mateus,Crescente/Decrescente,-18.86397400,-39.93870500,6.80,13.60,20.40,27.20,34.00,40.80,47.60,54.40,61.20,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_066_ecovias_capixaba_aracruz,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P3 - Aracruz ,praca_fisica,BR-101,171.7,Aracruz,Crescente/Decrescente,-19.56309900,-40.17762100,6.40,12.80,19.20,25.60,32.00,38.40,44.80,51.20,57.60,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_072_ecovias_capixaba_serra,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P4 - Serra ,praca_fisica,BR-101,242.0,Serra,Crescente/Decrescente,-20.03256500,-40.39662400,6.10,12.20,18.30,24.40,30.50,36.60,42.70,48.80,54.90,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_067_ecovias_capixaba_guarapari,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P5 - Guarapari ,praca_fisica,BR-101,320.8,Guarapari,Crescente/Decrescente,-20.51931600,-40.47860900,6.30,12.60,18.90,25.20,31.50,37.80,44.10,50.40,56.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_068_ecovias_capixaba_itapemirim,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P6 - Itapemirim ,praca_fisica,BR-101,398.9,Itapemirim,Crescente/Decrescente,-20.87858600,-40.96611800,5.30,10.60,15.90,21.20,26.50,31.80,37.10,42.40,47.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_069_ecovias_capixaba_mimoso,ES,ANTT,federal,ECOVIAS CAPIXABA,,,P7 - Mimoso do Sul ,praca_fisica,BR-101,452.0,Mimoso do Sul,Crescente/Decrescente,-21.15839700,-41.28061400,3.00,6.00,9.00,12.00,15.00,18.00,21.00,24.00,27.00,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-capixaba/tarifas-de-pedagio,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/eco101/localizacao-das-pracas-de-pedagio ; OSM Overpass export (12).geojson
br_antt_055_eco050_campo_alegre,GO,ANTT,federal,Ecovias Minas Goiás / Eco050,,,P2 Campo Alegre de Goiás,praca_fisica,BR-50,226.0,Campo Alegre de Goiás,Crescente/Decrescente,-17.77200950,-47.74990525,9.60,19.20,28.80,38.40,48.00,57.60,67.20,76.80,86.40,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/antt-aprova-nova-tarifa-de-pedagio-na-br-050-entre-goias-e-minas-gerais-reajuste-entra-em-vigor-em-julho,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_056_eco050_ipameri,GO,ANTT,federal,Ecovias Minas Goiás / Eco050,,,P1 Ipameri,praca_fisica,BR-50,144.0,Ipameri,Crescente/Decrescente,-17.12116780,-47.72147135,8.90,17.80,26.70,35.60,44.50,53.40,62.30,71.20,80.10,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/antt-aprova-nova-tarifa-de-pedagio-na-br-050-entre-goias-e-minas-gerais-reajuste-entra-em-vigor-em-julho,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_039_concebra_alexania,GO,ANTT,federal,CONCEBRA,,,P1 Alexânia,praca_fisica,BR-60,43.1,Alexânia,Crescente/Decrescente,-16.11572420,-48.58929975,7.40,14.80,22.20,29.60,37.00,44.40,51.80,59.20,66.60,ativo,cobranca_confirmada,true,alta,alta,https://triunfoconcebra.com.br/,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_040_concebra_goianapolis,GO,ANTT,federal,CONCEBRA,,,P2 Goianápolis,praca_fisica,BR-60,107.9,Goianápolis,Crescente/Decrescente,-16.43841450,-49.01907630,5.40,10.80,16.20,21.60,27.00,32.40,37.80,43.20,48.60,ativo,cobranca_confirmada,true,alta,alta,https://triunfoconcebra.com.br/,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_075_ecovias_araguaia_porangatu,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P3 - Porangatu,praca_fisica,BR-153,12.5,Porangatu,Crescente/Decrescente,-12.94270315,-49.13279580,12.00,24.00,36.00,48.00,60.00,72.00,84.00,96.00,108.00,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_way153_p1_piracanjuba,GO,ANTT,federal,Way-153 / Rota Sertaneja MG-GO,BR-153/262/GO/MG - Rota Sertaneja,P1,P1 Piracanjuba / Professor Jamil,praca_fisica,BR-153,553.1,Piracanjuba,Crescente/Decrescente,-17.16333660,-49.21273910,15.60,31.20,46.80,62.40,78.00,93.60,109.20,124.80,140.40,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/rota-sertaneja/tarifas-de-pedagio/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_078_ecovias_araguaia_estrela,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P4 - Estrela do Norte,praca_fisica,BR-153,116.12,Estrela do Norte,Crescente/Decrescente,-13.79516860,-49.03568915,11.50,23.00,34.50,46.00,57.50,69.00,80.50,92.00,103.50,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_way153_p2_itumbiara,GO,ANTT,federal,Way-153 / Rota Sertaneja MG-GO,BR-153/262/GO/MG - Rota Sertaneja,P2,P2 Itumbiara,praca_fisica,BR-153,685.8,Itumbiara,Crescente/Decrescente,-18.26845585,-49.24592435,14.90,29.80,44.70,59.60,74.50,89.40,104.30,119.20,134.10,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/rota-sertaneja/tarifas-de-pedagio/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_081_ecovias_araguaia_campinorte,GO,ANTT,federal,ECOVIAS DO ARAGUAIA,,,P5 - Campinorte,praca_fisica,BR-153,182.04,Campinorte,Crescente/Decrescente,-14.37303915,-49.15825980,14.30,28.60,42.90,57.20,71.50,85.80,100.10,114.40,128.70,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-araguaia/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_084_ecovias_cerrado_paranaiguara,GO,ANTT,federal,Ecovias do Cerrado,,,P5 - Paranaiguara,praca_fisica,BR-364,32.6,Paranaiguara,Crescente/Decrescente,-18.89763275,-50.71973290,5.90,11.80,17.70,23.60,29.50,35.40,41.30,47.20,53.10,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-do-cerrado/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
br_antt_082_ecovias_cerrado_cachoeira_alta,GO,ANTT,federal,Ecovias do Cerrado,,,P6 - Cachoeira Alta / Aparecida do Rio Doce,praca_fisica,BR-364,92.85,Cachoeira Alta,Crescente/Decrescente,-18.47123125,-51.08265890,5.90,11.80,17.70,23.60,29.50,35.40,41.30,47.20,53.10,ativo,cobranca_confirmada,true,alta,alta,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecovias-do-cerrado/tarifas-de-pedagio,OSM Overpass export (13).geojson cruzado com fonte oficial ANTT/concessionária
