toll_point_id,uf,nome,rodovia,km,municipio,status_operacional,classe_cobranca,motivo,latitude,longitude
sp_artesp_302_l32_novo_itariri_,SP,PÓRTICO 06 - ITARIRI,SP055,369+860,Itariri,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Novo Litoral lista os pórticos 06 e 07 de Itariri como Pórtico de Monitoramento; não gera cobrança.,-24.28525027,-47.19247933
sp_artesp_303_l32_novo_itariri_,SP,PÓRTICO 06 - ITARIRI,SP055,369+860,Itariri,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Novo Litoral lista os pórticos 06 e 07 de Itariri como Pórtico de Monitoramento; não gera cobrança.,-24.28525027,-47.19247933
sp_artesp_304_l32_novo_itariri_,SP,PÓRTICO 07 - ITARIRI,SP055,360+200,Itariri,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Novo Litoral lista os pórticos 06 e 07 de Itariri como Pórtico de Monitoramento; não gera cobrança.,-24.29780769,-47.10954051
sp_artesp_305_l32_novo_itariri_,SP,PÓRTICO 07 - ITARIRI,SP055,360+200,Itariri,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Novo Litoral lista os pórticos 06 e 07 de Itariri como Pórtico de Monitoramento; não gera cobrança.,-24.29780769,-47.10954051
sp_artesp_309_l33_rota_sorocabana_sao_roque_,SP,PÓRTICO 07 - SÃO ROQUE,SP270,"46,500",SÃO ROQUE,duplicidade_operacional_substituida,duplicidade_operacional_substituida,"A base traz P06 e P07 no mesmo grupo São Roque; para cálculo, a cobrança oficial fica no grupo único km48 São Roque. Esta linha fica como referência física/duplicada sem cálculo.",-23.59952682,-47.03882714
sp_artesp_310_l33_rota_sorocabana_sao_roque_,SP,PÓRTICO 07 - SÃO ROQUE,SP270,"46,500",SÃO ROQUE,duplicidade_operacional_substituida,duplicidade_operacional_substituida,"A base traz P06 e P07 no mesmo grupo São Roque; para cálculo, a cobrança oficial fica no grupo único km48 São Roque. Esta linha fica como referência física/duplicada sem cálculo.",-23.59952682,-47.03882714
sp_artesp_311_l33_rota_sorocabana_mairinque_,SP,PÓRTICO 08 - MAIRINQUE,SP270,72+380,Mairinque,monitoramento_sem_cobranca,monitoramento_sem_cobranca,"Siga Fácil lista pórticos de monitoramento sem cobrança na Raposo Tavares; este ponto corresponde a pórtico físico de monitoramento, não pedágio para cálculo.",-23.53040033,-47.23049976
sp_artesp_312_l33_rota_sorocabana_mairinque_,SP,PÓRTICO 08 - MAIRINQUE,SP270,72+380,Mairinque,monitoramento_sem_cobranca,monitoramento_sem_cobranca,"Siga Fácil lista pórticos de monitoramento sem cobrança na Raposo Tavares; este ponto corresponde a pórtico físico de monitoramento, não pedágio para cálculo.",-23.53028861,-47.23055615
sp_artesp_313_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 09 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_314_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 09 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_315_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 10 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_316_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 10 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_317_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 11 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_318_l33_rota_sorocabana_sorocaba_,SP,PÓRTICO 11 - SOROCABA,SP075,"12,000",ITU,monitoramento_sem_cobranca,monitoramento_sem_cobranca,Agência/Siga Fácil informa pórticos sem cobrança na Rodovia Santos Dumont/SP-075 em Sorocaba; não entra no cálculo atual.,-23.41146383,-47.34196079
sp_artesp_321_l33_rota_sorocabana_votorantim_,SP,PÓRTICO 13 - VOTORANTIM,SP079,107+607,Votorantim,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.63658844,-47.46471761
sp_artesp_322_l33_rota_sorocabana_votorantim_,SP,PÓRTICO 13 - VOTORANTIM,SP079,107+607,Votorantim,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.63658844,-47.46471761
sp_artesp_323_l33_rota_sorocabana_pirapora_,SP,PÓRTICO 16 - PIRAPORA,SP264,111+980,Salto de Pirapora,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.59211906,-47.53752011
sp_artesp_324_l33_rota_sorocabana_pirapora_,SP,PÓRTICO 16 - PIRAPORA,SP264,111+980,Salto de Pirapora,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.59211906,-47.53752011
sp_artesp_325_l33_rota_sorocabana_ibiuna_,SP,PÓRTICO 20 - IBIUNA,SP250,57+750,Ibiúna,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.65521168,-47.11632717
sp_artesp_326_l33_rota_sorocabana_ibiuna_,SP,PÓRTICO 20 - IBIUNA,SP250,57+750,Ibiúna,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.65521168,-47.11632717
sp_artesp_327_l33_rota_sorocabana_piedade_,SP,PÓRTICO 21 - PIEDADE,SP250,89+140,Piedade,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.70448000,-47.35239200
sp_artesp_328_l33_rota_sorocabana_piedade_,SP,PÓRTICO 21 - PIEDADE,SP250,89+140,Piedade,pendente_cobranca_2027,pendente_cobranca_2027,"Cobrança free flow desses corredores da Rota Sorocabana foi adiada para 2027; manter como pórtico futuro/pendente, sem cálculo atual.",-23.70448000,-47.35239200
sp_artesp_329_l33_rota_sorocabana_cotia_,SP,PÓRTICO 23 - COTIA,SP270,37+275,Cotia,monitoramento_sem_cobranca,monitoramento_sem_cobranca,"Siga Fácil lista pórticos de monitoramento sem cobrança na Raposo Tavares; este ponto corresponde a pórtico físico de monitoramento, não pedágio para cálculo.",-23.61299192,-46.95742290
sp_artesp_330_l33_rota_sorocabana_cotia_,SP,PÓRTICO 23 - COTIA,SP270,37+275,Cotia,monitoramento_sem_cobranca,monitoramento_sem_cobranca,"Siga Fácil lista pórticos de monitoramento sem cobrança na Raposo Tavares; este ponto corresponde a pórtico físico de monitoramento, não pedágio para cálculo.",-23.61292298,-46.95750530
pa_estadual_rota_do_para_p1,PA,Praça 01 – Nova Ipixuna / Jacundá,PA-150,"52,6",Nova Ipixuna / Jacundá,suspenso,cobranca_suspensa,Fora do cálculo por suspensão/pendência.,-4.75953000,-49.06598000
pa_estadual_rota_do_para_p2,PA,Praça 02 – Jacundá / Goianésia do Pará,PA-150,"112,8",Jacundá / Goianésia do Pará,suspenso,cobranca_suspensa,Fora do cálculo por suspensão/pendência.,-4.25356000,-49.05934000
pa_estadual_rota_do_para_p3,PA,"Praça 03 – PA-150 km 179,7",PA-150,"179,7",Goianésia do Pará / Tailândia,suspenso,cobranca_suspensa,Fora do cálculo por suspensão/pendência.,-4.20000000,-49.08000000
pa_estadual_rota_do_para_p4,PA,"Praça 04 – PA-150 km 229,8",PA-150,"229,8",Goianésia do Pará / Tailândia,suspenso,cobranca_suspensa,Fora do cálculo por suspensão/pendência.,-3.68000000,-49.05000000
