uf,linhas_fisicas,entram_calculo,fora_calculo,geo_alta,geo_media,geo_baixa,valor_alta,valor_media,valor_baixa
BA,8,8,0,8,0,0,8,0,0
ES,7,7,0,7,0,0,7,0,0
GO,16,16,0,16,0,0,16,0,0
MG,85,85,0,85,0,0,79,6,0
MS,18,18,0,18,0,0,18,0,0
MT,32,32,0,32,0,0,32,0,0
PA,9,5,4,9,0,0,9,0,0
PE,7,7,0,7,0,0,7,0,0
PI,4,4,0,4,0,0,4,0,0
PR,38,38,0,38,0,0,30,8,0
RJ,33,33,0,33,0,0,24,9,0
RO,7,7,0,7,0,0,7,0,0
RS,33,33,0,33,0,0,22,11,0
SC,11,11,0,11,0,0,11,0,0
SP,406,382,24,406,0,0,175,150,81
TO,2,2,0,2,0,0,2,0,0
