regulador,linhas_fisicas,entram_calculo,fora_calculo,geo_alta,valor_alta,valor_media,valor_baixa
AGEMS,9,9,0,9,9,0,0
AGER-MT,21,21,0,21,21,0,0
AGERBA,8,8,0,8,8,0,0
AGETRANSP,5,5,0,5,5,0,0
AGRESPI,4,4,0,4,4,0,0
ANTT,264,264,0,264,189,74,1
ARPE/DER-PE,7,7,0,7,7,0,0
ARTEMIG,34,34,0,34,28,6,0
ARTESP,333,309,24,333,162,91,80
ARTRAN-PA,8,4,4,8,8,0,0
CSG,6,6,0,6,0,6,0
EGR,10,10,0,10,10,0,0
PREFEITURA_RIO_LAMSA,1,1,0,1,0,1,0
PREFEITURA_RIO_VIARIO,1,1,0,1,0,1,0
Rota Santa Maria,5,5,0,5,0,5,0
